customer_id,churn_probability,value_at_risk,expected_net_value,recommended_action,selection_reason,policy_rank,economic_scenario
eb3e9fe66a9ce93d,0.8764945205852107,5247.989029640934,1306.9972574102335,contact,Highest positive expected net value within budget,1,base_case
620a017359c504e3,0.4972694031290302,2297.7546108920474,569.4386527230118,contact,Highest positive expected net value within budget,2,base_case
31e75f4955dd93ab,0.15247995340211512,1838.151403780797,454.53785094519924,contact,Highest positive expected net value within budget,3,base_case
5ce0b02dd1ab916e,0.3412289137833078,1703.4915141118734,420.87287852796834,contact,Highest positive expected net value within budget,4,base_case
596033776744367f,0.05158643852027041,1221.5729255665294,300.39323139163236,contact,Highest positive expected net value within budget,5,base_case
6ccaa5329d09a1a4,0.307901900842288,1205.2184091046124,296.3046022761531,contact,Highest positive expected net value within budget,6,base_case
c7f6196234e8f052,0.622731534048916,1034.2951162676115,253.5737790669029,contact,Highest positive expected net value within budget,7,base_case
89621b6716ceddbb,0.6033935530063407,892.8046333767488,218.2011583441872,contact,Highest positive expected net value within budget,8,base_case
af661127dc7bacd6,0.041733598301357734,794.2327770107119,193.55819425267796,contact,Highest positive expected net value within budget,9,base_case
8fae33e1ae504b51,0.5691851435450116,773.7326393956388,188.4331598489097,contact,Highest positive expected net value within budget,10,base_case
fc18a5cf3af4b9b4,0.19218562186497998,687.3653295936314,166.84133239840784,contact,Highest positive expected net value within budget,11,base_case
6b8c23e8b8c50780,0.031588258702542234,579.6551450524446,139.91378626311115,contact,Highest positive expected net value within budget,12,base_case
d3f998037cfa524b,0.09260241156835301,572.1458056220946,138.03645140552365,contact,Highest positive expected net value within budget,13,base_case
537ca7123c7c4e79,0.7473692578358818,554.7624842912231,133.69062107280578,contact,Highest positive expected net value within budget,14,base_case
754f103bc9d35f5a,0.4367251684010183,527.0744345146526,126.76860862866315,contact,Highest positive expected net value within budget,15,base_case
e6aeafcbe3fe5790,0.7123669370868678,526.5677487393394,126.64193718483486,contact,Highest positive expected net value within budget,16,base_case
77bcd5b2a5decf81,0.7824774558080951,506.4256692186456,121.6064173046614,contact,Highest positive expected net value within budget,17,base_case
8940f204cf64b94c,0.85819075780784,493.5931344023471,118.39828360058678,contact,Highest positive expected net value within budget,18,base_case
