incremental_retention_effect,offer_acceptance_probability,margin_multiplier,customers_contacted,expected_net_value,expected_campaign_cost,binding_constraint
0.1,0.2,0.75,212,637.5329002332097,932.8000000000001,positive_expected_value
0.1,0.2,1.0,214,1163.8832342756414,941.6,operational_capacity
0.1,0.2,1.25,214,1690.2540428445518,941.6,operational_capacity
0.1,0.35,0.75,95,377.97488231993384,588.9999999999999,positive_expected_value
0.1,0.35,1.0,186,784.5002865139757,1153.1999999999998,positive_expected_value
0.1,0.35,1.25,214,1305.0540428445522,1326.8,operational_capacity
0.1,0.5,0.75,45,258.90594451132824,360.0,positive_expected_value
0.1,0.5,1.0,103,530.5388880612037,824.0,positive_expected_value
0.1,0.5,1.25,173,935.4845550365264,1384.0,positive_expected_value
0.2,0.2,0.75,214,2216.6248514134613,941.6,operational_capacity
0.2,0.2,1.0,214,3269.3664685512827,941.6,operational_capacity
0.2,0.2,1.25,214,4322.108085689104,941.6,operational_capacity
0.2,0.35,0.75,214,1831.4248514134622,1326.8,operational_capacity
0.2,0.35,1.0,214,2884.1664685512833,1326.8,operational_capacity
0.2,0.35,1.25,214,3936.908085689104,1326.8,operational_capacity
0.2,0.5,0.75,214,1446.224851413462,1712.0,operational_capacity
0.2,0.5,1.0,214,2498.9664685512835,1712.0,operational_capacity
0.2,0.5,1.25,214,3551.708085689104,1712.0,operational_capacity
0.35,0.2,0.75,214,4585.293489973557,941.6,operational_capacity
0.35,0.2,1.0,214,6427.591319964744,941.6,operational_capacity
0.35,0.2,1.25,214,8269.88914995593,941.6,operational_capacity
0.35,0.35,0.75,214,4200.0934899735585,1326.8,operational_capacity
0.35,0.35,1.0,214,6042.391319964744,1326.8,operational_capacity
0.35,0.35,1.25,214,7884.689149955931,1326.8,operational_capacity
0.35,0.5,0.75,214,3814.8934899735577,1712.0,operational_capacity
0.35,0.5,1.0,214,5657.191319964744,1712.0,operational_capacity
0.35,0.5,1.25,214,7499.489149955931,1712.0,operational_capacity
