ted Kingdom
S0039006,P0039,Synthetic fixture product,4,2023-04-11 10:00:00,17.75,SYN0039,Netherlands
S0114002,P0034,Synthetic fixture product,2,2023-04-11 10:00:00,23.86,SYN0114,Germany
S0034007,P0034,Synthetic fixture product,5,2023-04-11 10:00:00,7.51,SYN0034,Germany
S0056002,P0056,Synthetic fixture product,2,2023-04-11 10:00:00,10.02,SYN0056,United Kingdom
S0057003,P0057,Synthetic fixture product,3,2023-04-11 10:00:00,15.47,SYN0057,France
S0034007,P0047,Synthetic fixture product,6,2023-04-11 11:00:00,6.51,SYN0034,Germany
S0114002,P0047,Synthetic fixture product,5,2023-04-11 11:00:00,20.28,SYN0114,Germany
S0056002,P0069,Synthetic fixture product,5,2023-04-11 11:00:00,11.91,SYN0056,United Kingdom
S0112003,P0045,Synthetic fixture product,2,2023-04-11 11:00:00,23.38,SYN0112,United Kingdom
S0034007,P0060,Synthetic fixture product,1,2023-04-11 12:00:00,8.59,SYN0034,Germany
S0114002,P0060,Synthetic fixture product,1,2023-04-11 12:00:00,16.4,SYN0114,Germany
S0001011,P0001,Synthetic fixture product,5,2023-04-12 10:00:00,7.56,SYN0001,France
S0031009,P0031,Synthetic fixture product,1,2023-04-12 10:00:00,30.37,SYN0031,Netherlands
S0063011,P0063,Synthetic fixture product,4,2023-04-12 10:00:00,26.36,SYN0063,Netherlands
S0095008,P0015,Synthetic fixture product,4,2023-04-12 10:00:00,15.36,SYN0095,Netherlands
S0031009,P0044,Synthetic fixture product,1,2023-04-12 11:00:00,29.3,SYN0031,Netherlands
S0063011,P0076,Synthetic fixture product,6,2023-04-12 11:00:00,27.32,SYN0063,Netherlands
S0095008,P0028,Synthetic fixture product,5,2023-04-12 11:00:00,21.38,SYN0095,Netherlands
S0063011,P0009,Synthetic fixture product,2,2023-04-12 12:00:00,18.02,SYN0063,Netherlands
CS0063011,P0063,Synthetic fixture return,-1,2023-04-13 00:00:00,20.0,SYN0063,Netherlands
S0005007,P0005,Synthetic fixture product,2,2023-04-13 10:00:00,9.33,SYN0005,France
S0109004,P0029,Synthetic fixture product,6,2023-04-13 10:00:00,14.48,SYN0109,France
S0000014,P0000,Synthetic fixture product,1,2023-04-13 10:00:00,9.52,SYN0000,United Kingdom
S0037006,P0037,Synthetic fixture product,3,2023-04-13 10:00:00,11.26,SYN0037,France
S0094011,P0014,Synthetic fixture product,2,2023-04-13 10:00:00,14.77,SYN0094,Germany
S0020003,P0020,Synthetic fixture product,1,2023-04-13 10:00:00,14.13,SYN0020,United Kingdom
S0027002,P0027,Synthetic fixture product,2,2023-04-13 10:00:00,17.77,SYN0027,Netherlands
S0025002,P0025,Synthetic fixture product,3,2023-04-13 10:00:00,21.17,SYN0025,France
S0071006,P0071,Synthetic fixture product,5,2023-04-13 10:00:00,11.38,SYN0071,Netherlands
S0002009,P0002,Synthetic fixture product,4,2023-04-13 10:00:00,7.96,SYN0002,Germany
S0045003,P0045,Synthetic fixture product,4,2023-04-13 10:00:00,26.01,SYN0045,France
S0000014,P0013,Synthetic fixture product,5,2023-04-13 11:00:00,7.35,SYN0000,United Kingdom
S0037006,P0050,Synthetic fixture product,3,2023-04-13 11:00:00,10.05,SYN0037,France
S0071006,P0004,Synthetic fixture product,1,2023-04-13 11:00:00,14.34,SYN0071,Netherlands
S0027002,P0040,Synthetic fixture product,2,2023-04-13 11:00:00,18.64,SYN0027,Netherlands
S0020003,P0033,Synthetic fixture product,6,2023-04-13 11:00:00,11.82,SYN0020,United Kingdom
S0002009,P0015,Synthetic fixture product,6,2023-04-13 11:00:00,13.71,SYN0002,Germany
S0109004,P0042,Synthetic fixture product,5,2023-04-13 11:00:00,14.99,SYN0109,France
S0020003,P0046,Synthetic fixture product,1,2023-04-13 12:00:00,14.75,SYN0020,United Kingdom
S0071006,P0017,Synthetic fixture product,5,2023-04-13 12:00:00,9.33,SYN0071,Netherlands
S0027002,P0053,Synthetic fixture product,5,2023-04-13 12:00:00,20.69,SYN0027,Netherlands
S0109004,P0055,Synthetic fixture product,4,2023-04-13 12:00:00,12.08,SYN0109,France
S0002009,P0028,Synthetic fixture product,2,2023-04-13 12:00:00,11.16,SYN0002,Germany
S0000014,P0026,Synthetic fixture product,5,2023-04-13 12:00:00,10.11,SYN0000,United Kingdom
S0036007,P0036,Synthetic fixture product,4,2023-04-14 10:00:00,8.32,SYN0036,United Kingdom
S0065008,P0065,Synthetic fixture product,4,2023-04-14 10:00:00,27.07,SYN0065,France
S0078004,P0078,Synthetic fixture product,2,2023-04-14 10:00:00,18.57,SYN0078,Germany
S0107004,P0027,Synthetic fixture product,5,2023-04-14 10:00:00,9.93,SYN0107,Netherlands
S0023002,P0023,Synthetic fixture product,4,2023-04-14 10:00:00,11.09,SYN0023,Netherlands
S0106004,P0026,Synthetic fixture product,2,2023-04-14 10:00:00,13.53,SYN0106,Germany
S0023002,P0036,Synthetic fixture product,5,2023-04-14 11:00:00,11.75,SYN0023,Netherlands
S0078004,P0011,Synthetic fixture product,3,2023-04-14 11:00:00,16.04,SYN0078,Germany
S0065008,P0078,Synthetic fixture product,1,2023-04-14 11:00:00,30.21,SYN0065,France
S0106004,P0039,Synthetic fixture product,1,2023-04-14 11:00:00,9.54,SYN0106,Germany
S0036007,P0049,Synthetic fixture product,6,2023-04-14 11:00:00,11.93,SYN0036,United Kingdom
S0106004,P0052,Synthetic fixture product,6,2023-04-14 12:00:00,10.04,SYN0106,Germany
CS0107004,P0027,Synthetic fixture return,-1,2023-04-15 00:00:00,13.0,SYN0107,Netherlands
S0035006,P0035,Synthetic fixture product,4,2023-04-15 10:00:00,8.9,SYN0035,Netherlands
S0038005,P0038,Synthetic fixture product,5,2023-04-15 10:00:00,16.78,SYN0038,Germany
S0024003,P0024,Synthetic fixture product,5,2023-04-15 10:00:00,19.12,SYN0024,United Kingdom
S0035006,P0048,Synthetic fixture product,4,2023-04-15 11:00:00,11.49,SYN0035,Netherlands
S0038005,P0051,Synthetic fixture product,5,2023-04-15 11:00:00,9.75,SYN0038,Germany
S0035006,P0061,Synthetic fixture product,6,2023-04-15 12:00:00,12.41,SYN0035,Netherlands
S0055002,P0055,Synthetic fixture product,6,2023-04-16 10:00:00,15.22,SYN0055,Netherlands
S0014003,P0014,Synthetic fixture product,1,2023-04-16 10:00:00,23.62,SYN0014,Germany
S0072004,P0072,Synthetic fixture product,6,2023-04-16 10:00:00,12.38,SYN0072,United Kingdom
S0074005,P0074,Synthetic fixture product,3,2023-04-16 10:00:00,12.88,SYN0074,Germany
S0103005,P0023,Synthetic fixture product,6,2023-04-16 10:00:00,11.82,SYN0103,Netherlands
S0104005,P0024,Synthetic fixture product,1,2023-04-16 10:00:00,10.44,SYN0104,United Kingdom
S0069006,P0069,Synthetic fixture product,2,2023-04-16 10:00:00,8.76,SYN0069,France
S0033008,P0033,Synthetic fixture product,5,2023-04-16 10:00:00,23.08,SYN0033,France
S0066009,P0066,Synthetic fixture product,2,2023-04-16 10:00:00,18.25,SYN0066,Germany
S0074005,P0007,Synthetic fixture product,1,2023-04-16 11:00:00,18.4,SYN0074,Germany
S0104005,P0037,Synthetic fixture product,1,2023-04-16 11:00:00,9.44,SYN0104,United Kingdom
S0072004,P0005,Synthetic fixture product,1,2023-04-16 11:00:00,8.99,SYN0072,United Kingdom
S0014003,P0027,Synthetic fixture product,2,2023-04-16 11:00:00,16.21,SYN0014,Germany
